Year,Metropolitan,Town,Rural
Baker,0,0.693432835820896,0.306567164179104
Benton,0.74506416900183,0.0658835873223037,0.189052243675867
Clackamas,0.693735944513891,0.0934215153476304,0.212842540138479
Clatsop,0,0.628991596638655,0.371008403361345
Columbia,0,0.522704315886134,0.477295684113866
Coos,0,0.621210914477771,0.378789085522229
Crook,0,0.536440412887082,0.463559587112918
Curry,0,0.474523347684156,0.525476652315844
Deschutes,0.498626123588201,0.130271221406468,0.371102655005331
Douglas,0,0.581788663233698,0.418211336766302
Gilliam,0,0.689473684210526,0.310526315789474
Grant,0,0.620754716981132,0.379245283018868
Harney,0,0.618421052631579,0.381578947368421
"Hood River",0,0.427563568663956,0.572436431336044
Jackson,0.710435871550017,0.0680314891128654,0.221532639337118
Jefferson,0,0.38150349834289,0.61849650165711
Josephine,0,0.516810606660856,0.483189393339144
Klamath,0,0.645284202273618,0.354715797726382
Lake,0,0.429668552950687,0.570331447049313
Lane,0.693738214448274,0.112909068953025,0.193352716598701
Lincoln,0,0.621416848400369,0.378583151599631
Linn,0,0.6507983,0.349201741654572
Malheur,0,0.596678791712795,0.403321208287205
Marion,0.658369436233034,0.188650231362829,0.152980332404137
Morrow,0,0.597747747747748,0.402252252252252
Multnomah,0.982624915592458,0,0.0173750844075423
Polk,0.319862135299776,0.444357165758256,0.235780698941969
Sherman,0,0.594871794871795,0.405128205128205
Tillamook,0,0.364197530864198,0.635802469135803
Umatilla,0,0.698148778136871,0.301851221863129
Union,0,0.74684317718941,0.253156822810591
Wallowa,0,0.563448275862069,0.436551724137931
Wasco,0,0.661174393678282,0.338825606321718
Washington,0.923369006291794,0.00793771977491456,0.0686932739332917
Wheeler,0,0.503225806451613,0.496774193548387
Yamhill,0,0.704383942018072,0.295616057981928
