Year,FuelCost,KwhCost,VmtTax,CarbonTax,EVVmtSurcharge,GasTax,AirPollution,OtherResource,ClimateChange,EnergySecurity,Safety,Noise,BaseMod,PresOpMaint,OtherRoad,VehMaint,VehTire,VehFin,VehIns,VehReg,FwyLnMi,ArtLnMi,PropExtPaid
1990,1.63,0.073,0,0,0,0.424,0.014,0.003,30,0.45,0.005,0.001,0.004,0.01,0.015,0.041,0.007,725,740,39,4900,1800,0
1995,1.17,0.07,0,0,0,0.424,0.014,0.003,30,0.45,0.005,0.001,0.004,0.01,0.015,0.041,0.007,725,740,39,4900,1800,0
2000,1.47,0.065,0,0,0,0.424,0.014,0.003,30,0.45,0.005,0.001,0.004,0.01,0.015,0.041,0.007,725,740,39,4900,1800,0
2005,2.12,0.073,0,0,0,0.424,0.014,0.003,30,0.45,0.005,0.001,0.004,0.01,0.015,0.041,0.007,725,740,39,4900,1800,0
2010,2.43,0.08,0,0,0,0.424,0.014,0.003,30,0.45,0.005,0.001,0.004,0.01,0.015,0.041,0.007,725,740,39,4900,1800,0.001
2015,3.42,0.123,0,0,0,0.484,0.014,0.003,35,0.45,0.005,0.001,0.004,0.01,0.015,0.041,0.007,725,740,39,4900,1800,0.006
2020,4.25,0.222,0,0,0.10,0.484,0.014,0.003,40,0.45,0.005,0.001,0.004,0.01,0.015,0.041,0.007,725,740,39,4900,1800,0.026
2025,4.78,0.257,0,0,0.10,0.484,0.014,0.003,45,0.45,0.005,0.001,0.004,0.01,0.015,0.041,0.007,725,740,39,4900,1800,0.105
2030,5.15,0.286,0,0,0.10,0.484,0.014,0.003,50,0.45,0.005,0.001,0.004,0.01,0.015,0.041,0.007,725,740,39,4900,1800,0.341
2035,5.53,0.303,0,0,0.10,0.484,0.014,0.003,55,0.45,0.005,0.001,0.004,0.01,0.015,0.041,0.007,725,740,39,4900,1800,0.694
2040,5.95,0.314,0,0,0.10,0.484,0.014,0.003,60,0.45,0.005,0.001,0.004,0.01,0.015,0.041,0.007,725,740,39,4900,1800,0.909
2045,6.27,0.325,0,0,0.10,0.484,0.014,0.003,65,0.45,0.005,0.001,0.004,0.01,0.015,0.041,0.007,725,740,39,4900,1800,0.978
2050,6.57,0.335,0,0,0.10,0.484,0.014,0.003,70,0.45,0.005,0.001,0.004,0.01,0.015,0.041,0.007,725,740,39,4900,1800,0.995
