Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
TargetProp,Bend,1,1,1,1,1,1,1,1,1,1,1,1,1
TargetProp,Corvallis,1,1,1,1,1,1,1,1,1,1,1,1,1
TargetProp,EugeneSpringfield,1,1,1,1,1,1,1,1,1,1,1,1,1
TargetProp,Metro,1,1,1,1,1,1,1,1,1,1,1,1,1
TargetProp,RogueValley,1,1,1,1,1,1,1,1,1,1,1,1,1
TargetProp,SalemKeizer,1,1,1,1,1,1,1,1,1,1,1,1,1
TargetProp,NonMetro,1,1,1,1,1,1,1,1,1,1,1,1,1
Threshold,Bend,20,20,20,20,20,20,20,20,20,20,20,20,20
Threshold,Corvallis,20,20,20,20,20,20,20,20,20,20,20,20,20
Threshold,EugeneSpringfield,20,20,20,20,20,20,20,20,20,20,20,20,20
Threshold,Metro,20,20,20,20,20,20,20,20,20,20,20,20,20
Threshold,RogueValley,20,20,20,20,20,20,20,20,20,20,20,20,20
Threshold,SalemKeizer,20,20,20,20,20,20,20,20,20,20,20,20,20
Threshold,NonMetro,20,20,20,20,20,20,20,20,20,20,20,20,20
PropSuitable,Bend,0.02,0.03,0.04,0.05,0.06,0.08,0.1,0.13,0.16,0.2,0.23,0.27,0.3
PropSuitable,Corvallis,0.02,0.03,0.04,0.05,0.06,0.08,0.1,0.13,0.16,0.2,0.23,0.27,0.3
PropSuitable,EugeneSpringfield,0.02,0.03,0.04,0.06,0.08,0.11,0.14,0.18,0.23,0.28,0.32,0.36,0.4
PropSuitable,Metro,0.02,0.03,0.05,0.07,0.1,0.12,0.15,0.2,0.24,0.29,0.33,0.37,0.4
PropSuitable,RogueValley,0.01,0.01,0.02,0.03,0.04,0.05,0.07,0.09,0.12,0.16,0.2,0.25,0.3
PropSuitable,SalemKeizer,0.01,0.01,0.02,0.03,0.04,0.05,0.07,0.09,0.12,0.16,0.2,0.25,0.3
PropSuitable,NonMetro,0.01,0.01,0.02,0.03,0.04,0.05,0.07,0.09,0.12,0.16,0.2,0.25,0.3
