County,Metropolitan,Town
Baker,0,0.5
Benton,0.15,0.5
Clackamas,0.15,0.5
Clatsop,0,0.5
Columbia,0,0.5
Coos,0,0.5
Crook,0,0.5
Curry,0,0.5
Deschutes,0.15,0.5
Douglas,0,0.5
Gilliam,0,0.5
Grant,0,0.5
Harney,0,0.5
Hood River,0,0.5
Jackson,0.15,0.5
Jefferson,0,0.5
Josephine,0,0.5
Klamath,0,0.5
Lake,0,0.5
Lane,0.15,0.5
Lincoln,0,0.5
Linn,0,0.5
Malheur,0,0.5
Marion,0.15,0.5
Morrow,0,0.5
Multnomah,0.15,0.5
Polk,0.15,0.5
Sherman,0,0.5
Tillamook,0,0.5
Umatilla,0,0.5
Union,0,0.5
Wallowa,0,0.5
Wasco,0,0.5
Washington,0.15,0.5
Wheeler,0,0.5
Yamhill,0,0.5
