County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Baker,3209,1195,1269,5834,2026,3199
Benton,13341,8013,16604,26468,5645,8057
Clackamas,73087,24152,38093,134552,32206,37585
Clatsop,6663,2883,3838,12993,3659,5560
Columbia,9723,3213,4290,17008,4364,5073
Coos,10908,4432,5693,22067,7569,12027
Crook,4134,1425,2103,6695,2147,2842
Curry,3255,1158,1337,6749,3011,5613
Deschutes,23755,7934,13485,44498,11720,15225
Douglas,19377,7231,9788,34826,11319,17945
Gilliam,350,129,155,697,217,363
Grant,1590,613,606,2810,948,1334
Harney,1636,509,673,2817,836,1142
"Hood River",4751,1490,2515,7496,1608,2627
Jackson,36218,13026,20855,64561,18209,29063
Jefferson,4750,1370,2205,6406,1994,2388
Josephine,14231,4965,6526,25797,9049,15268
Klamath,13623,4576,7409,22236,6557,9540
Lake,1445,514,599,2640,897,1316
Lane,60233,24632,49253,117096,29236,43018
Lincoln,7535,2920,3816,15947,5446,8678
Linn,22010,7519,12028,36447,10080,14976
Malheur,7193,2492,4370,10493,2680,4317
Marion,64857,22090,40888,99593,23087,35166
Morrow,2832,898,1347,3814,995,1173
Multnomah,123515,41865,109231,262692,50819,73462
Polk,12976,5229,8354,21261,5563,9278
Sherman,407,147,130,675,213,352
Tillamook,4267,1649,2122,8444,2983,4799
Umatilla,16170,5516,9324,24902,6090,8691
Union,4830,2158,3312,8254,2371,3625
Wallowa,1377,509,484,2623,862,1365
Wasco,4904,1690,2422,8395,2430,3977
Washington,101764,29736,68468,176790,32245,39604
Wheeler,259,111,79,482,254,360
Yamhill,18860,7182,11895,30546,6809,10002
