,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Baker,2642,904,1322,4614,2179,4712
Benton,11967,9163,21097,26797,8463,17495
Clackamas,75885,28549,45116,138235,59419,79946
Clatsop,6183,2202,4224,11368,5057,10325
Columbia,9621,3260,6009,18190,7830,13101
Coos,9570,3108,5749,18003,8464,19920
Crook,3881,1288,2543,6354,2738,5990
Curry,2290,867,1673,5580,3541,9903
Deschutes,31175,10131,21688,60871,27890,46897
Douglas,18701,6232,11711,34719,15300,35051
Gilliam,313,110,173,554,289,732
Grant,891,311,676,1792,997,2532
Harney,1284,369,595,2425,933,1753
"Hood River",4925,1412,3408,9018,3661,5402
Jackson,38436,13456,26151,70859,29204,60849
Jefferson,5373,1301,2418,6812,3774,5914
Josephine,14701,4634,8918,26175,13181,28858
Klamath,12616,3982,7462,21448,8295,16528
Lake,1358,422,582,2442,975,2171
Lane,57137,26506,61020,121842,41128,87285
Lincoln,6848,2107,3908,13690,7504,17315
Linn,24597,8523,16730,41782,15736,28857
Malheur,7041,1874,3612,10580,3864,6406
Marion,78974,23391,51255,119805,40726,66939
Morrow,2708,783,1511,4031,1516,2462
Multnomah,148433,50590,150992,324594,107158,134184
Polk,17530,6466,13272,31061,9647,18754
Sherman,235,94,206,451,255,476
Tillamook,4126,1211,2444,7504,4011,8495
Umatilla,18478,5709,11674,28047,9645,14810
Union,5920,1837,3721,8765,2533,6644
Wallowa,954,377,590,1711,951,2432
Wasco,5111,1828,2996,8272,3438,7184
Washington,121857,38326,81937,211964,65369,84655
Wheeler,152,71,129,311,200,489
Yamhill,22439,7224,16481,41060,13879,22813
