County,Metropolitan,Town
Baker,0,12.16549063
Benton,36.17008281,0.811709375
Clackamas,91.1,15.5551625
Clatsop,0,25.09685
Columbia,0,19.2059125
Coos,0,31.10993906
Crook,0,8.315070313
Curry,0,15.78997031
Deschutes,32.39413281,16.85110938
Douglas,0,39.33116094
Gilliam,0,3.32804375
Grant,0,11.90874219
Harney,0,6.138460938
Hood River,0,5.944909375
Jackson,48.66143438,6.434871875
Jefferson,0,6.010359375
Josephine,0,16.36497188
Klamath,0,40.20563125
Lake,0,5.757192188
Lane,77.2,26.95641094
Lincoln,0,28.60027969
Linn,26.35852188,23.94407813
Malheur,0,13.31645781
Marion,56.24870324,26.15709063
Morrow,0,10.28892813
Multnomah,136.44,0
Polk,7.801296756,13.5260375
Sherman,0,3.174364063
Tillamook,0,9.713120313
Umatilla,0,46.85793125
Union,0,11.92787344
Wallowa,0,3.922651563
Wasco,0,11.25405938
Washington,117.3,1.54899375
Wheeler,0,1.526909375
Yamhill,0,26.31921406
