Area,Fuel,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Metro,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Metro,PropCng,0.039574097,0.039574097,0.039574097,0.039574097,0.039574097,0.1,0.35,0.6,0.85,0.97,1,1,1
Metro,DieselPropBio,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Metro,GasPropEth,0,0,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Metro,PropElectric,0.05,0.05,0.1,0.14,0.18,0.2,0.25,0.3,0.4,0.5,0.6,0.7,0.8
EugeneSpringfield,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
EugeneSpringfield,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
EugeneSpringfield,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
EugeneSpringfield,GasPropEth,0,0,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
EugeneSpringfield,PropElectric,0,0,0,0,0,0,0,0,0,0,0,0,0
SalemKeizer,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
SalemKeizer,PropCng,0.663641213,0.663641213,0.663641213,0.663641213,0.663641213,0.7,0.75,0.85,0.95,1,1,1,1
SalemKeizer,DieselPropBio,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
SalemKeizer,GasPropEth,0,0,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SalemKeizer,PropElectric,0,0,0,0,0,0,0,0,0,0,0,0,0
RogueValley,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
RogueValley,PropCng,0.79073528,0.79073528,0.79073528,0.79073528,0.79073528,0.79073528,0.81,0.87,0.95,1,1,1,1
RogueValley,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
RogueValley,GasPropEth,0,0,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
RogueValley,PropElectric,0,0,0,0,0,0,0,0,0,0,0,0,0
Bend,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Bend,PropCng,0.039574097,0.039574097,0.039574097,0.039574097,0.039574097,0.1,0.35,0.6,0.85,0.97,1,1,1
Bend,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Bend,GasPropEth,0,0,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Bend,PropElectric,0,0,0,0,0,0,0,0,0,0,0,0,0
Corvallis,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Corvallis,PropCng,0.039574097,0.039574097,0.039574097,0.039574097,0.039574097,0.1,0.35,0.6,0.85,0.97,1,1,1
Corvallis,DieselPropBio,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Corvallis,GasPropEth,0,0,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Corvallis,PropElectric,0,0,0,0,0,0,0,0,0,0,0,0,0
