Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Ramp,Bend,0,0,0,0,0,0.5,0.75,0.95,0.95,0.95,0.95,0.95,0.95
Ramp,Corvallis,0,0,0,0,0,0.5,0.75,0.95,0.95,0.95,0.95,0.95,0.95
Ramp,EugeneSpringfield,0,0,0,0,0,0.5,0.75,0.95,0.95,0.95,0.95,0.95,0.95
Ramp,Metro,0,0,0.5,0.75,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
Ramp,RogueValley,0,0,0,0,0,0.5,0.75,0.95,0.95,0.95,0.95,0.95,0.95
Ramp,SalemKeizer,0,0,0,0,0,0.5,0.75,0.95,0.95,0.95,0.95,0.95,0.95
Incident,Bend,0,0,0,0,0.5,0.75,0.8,0.85,0.9,0.95,0.95,0.95,0.95
Incident,Corvallis,0,0,0,0,0.5,0.75,0.8,0.85,0.9,0.95,0.95,0.95,0.95
Incident,EugeneSpringfield,0,0,0,0,0.5,0.75,0.8,0.85,0.9,0.95,0.95,0.95,0.95
Incident,Metro,0,0,0.5,0.75,0.8,0.85,0.9,0.95,0.95,0.95,0.95,0.95,0.95
Incident,RogueValley,0,0,0,0,0.5,0.75,0.8,0.85,0.9,0.95,0.95,0.95,0.95
Incident,SalemKeizer,0,0,0,0,0.5,0.75,0.8,0.85,0.9,0.95,0.95,0.95,0.95
Signal,Bend,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.9,0.95,0.95,0.95,0.95
Signal,Corvallis,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.9,0.95,0.95,0.95,0.95
Signal,EugeneSpringfield,0.5,0,0,0,0.52,0.6,0.7,0.8,0.9,0.95,0.95,0.95,0.95
Signal,Metro,0.5,0,0,0,0.58,0.6,0.7,0.8,0.9,0.95,0.95,0.95,0.95
Signal,RogueValley,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.9,0.95,0.95,0.95,0.95
Signal,SalemKeizer,0.5,0,0,0,0.76,0.8,0.9,0.95,0.95,0.95,0.95,0.95,0.95
Access,Bend,0,0,0,0,0,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24
Access,Corvallis,0,0,0,0,0,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24
Access,EugeneSpringfield,0,0,0,0,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36
Access,Metro,0,0,0,0,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36
Access,RogueValley,0,0,0,0,0,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24
Access,SalemKeizer,0,0,0,0,0.07,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24
