Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
PropWrkPkg,Bend,0,0,0,0,0,1,1,1,1,1,1,1,1
PropWrkPkg,Corvallis,0,0,0,0,0,1,1,1,1,1,1,1,1
PropWrkPkg,EugeneSpringfield,1,1,1,1,1,1,1,1,1,1,1,1,1
PropWrkPkg,Metro,1,1,1,1,1,1,1,1,1,1,1,1,1
PropWrkPkg,RogueValley,0,0,0,0,0,1,1,1,1,1,1,1,1
PropWrkPkg,SalemKeizer,1,1,1,1,1,1,1,1,1,1,1,1,1
PropWrkChrgd,Bend,0,0,0,0,0,0.001,0.002,0.003,0.007,0.016,0.034,0.071,0.143
PropWrkChrgd,Corvallis,0,0,0,0,0,0.001,0.002,0.003,0.007,0.016,0.034,0.071,0.143
PropWrkChrgd,EugeneSpringfield,0.05,0.05,0.05,0.05,0.05,0.078,0.092,0.109,0.128,0.149,0.174,0.201,0.232
PropWrkChrgd,Metro,0.1,0.1,0.1,0.13,0.13,0.16,0.225,0.26,0.298,0.339,0.383,0.429,0.477
PropWrkChrgd,RogueValley,0,0,0,0,0,0.001,0.002,0.003,0.007,0.016,0.034,0.071,0.143
PropWrkChrgd,SalemKeizer,0.05,0.05,0.05,0.05,0.05,0.078,0.092,0.109,0.128,0.149,0.174,0.201,0.232
PropCashOut,Bend,0,0,0,0,0,1,1,1,1,1,1,1,1
PropCashOut,Corvallis,0,0,0,0,0,1,1,1,1,1,1,1,1
PropCashOut,EugeneSpringfield,0,0,0,0,0,1,1,1,1,1,1,1,1
PropCashOut,Metro,0,0,0,0,0,1,1,1,1,1,1,1,1
PropCashOut,RogueValley,0,0,0,0,0,1,1,1,1,1,1,1,1
PropCashOut,SalemKeizer,0,0,0,0,0,1,1,1,1,1,1,1,1
PropOthChrgd,Bend,0,0,0,0,0,0.005,0.001,0.001,0.002,0.004,0.008,0.015,0.027
PropOthChrgd,Corvallis,0.01,0.01,0.01,0.01,0.01,0.01,0.001,0.001,0.002,0.004,0.008,0.015,0.027
PropOthChrgd,EugeneSpringfield,0.01,0.01,0.01,0.01,0.01,0.01,0.017,0.02,0.022,0.025,0.028,0.032,0.036
PropOthChrgd,Metro,0.05,0.05,0.05,0.08,0.08,0.106,0.124,0.144,0.168,0.194,0.223,0.256,0.291
PropOthChrgd,RogueValley,0,0,0,0,0,0.005,0.001,0.001,0.002,0.004,0.008,0.015,0.027
PropOthChrgd,SalemKeizer,0.01,0.01,0.01,0.01,0.01,0.01,0.017,0.02,0.022,0.025,0.028,0.032,0.036
PkgCost,Bend,0,0,0,0,1,1.264,1.58,1.976,2.459,3.029,3.68,4.393,5
PkgCost,Corvallis,2.5,2.5,2.5,2.5,1,1.264,1.58,1.976,2.459,3.029,3.68,4.393,5
PkgCost,EugeneSpringfield,2.5,2.5,2.5,2.5,2.5,3,3.204,3.625,4.137,4.753,5.486,6.345,7.5
PkgCost,Metro,5,5,5,5,5,5.408,6.021,6.818,7.841,9.139,10.758,12.736,15
PkgCost,RogueValley,0,0,0,0,1,1.264,1.58,1.976,2.459,3.029,3.68,4.393,5
PkgCost,SalemKeizer,2.5,2.5,2.5,2.5,2.5,3,3.204,3.625,4.137,4.753,5.486,6.345,7.5
