County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Baker,3508,1054,1447,5689,1709,3013
Benton,14074,7256,15436,26520,4849,7666
Clackamas,67635,22854,34238,129512,24859,36783
Clatsop,7452,2521,3908,12859,3157,5388
Columbia,9652,3169,4129,16138,3389,5130
Coos,12593,4152,6184,22152,6429,11312
Crook,3614,1220,1726,5738,1565,2498
Curry,3429,1014,1571,6668,2671,5669
Deschutes,20171,6505,9931,37531,8517,12214
Douglas,21057,7288,9901,34636,9686,17064
Gilliam,431,106,135,638,213,353
Grant,1712,556,716,2959,786,1230
Harney,1564,491,667,2637,676,1064
"Hood River",4298,1338,2212,6889,1485,2493
Jackson,33726,11649,17827,60196,14927,26978
Jefferson,4091,1115,2055,5140,1319,2283
Josephine,13987,4628,6247,24986,7403,13883
Klamath,13177,4770,7163,21429,5709,8892
Lake,1655,487,639,2672,740,1138
Lane,60396,22762,42919,112170,23273,41299
Lincoln,8470,2460,3826,15830,4938,8684
Linn,21706,7430,11684,35870,8536,14697
Malheur,6995,2393,3030,8781,2519,4165
Marion,57122,18998,33810,91873,19882,34078
Morrow,2219,713,897,3164,827,1125
Multnomah,120352,39320,92291,240628,46306,77049
Polk,12274,4464,6986,19285,4540,9462
Sherman,403,120,127,629,224,387
Tillamook,4557,1384,1968,7910,2871,4967
Umatilla,14767,5040,8217,22152,5176,8509
Union,5593,2113,2948,8825,2053,3465
Wallowa,1631,472,615,2678,783,1302
Wasco,5041,1596,2111,8094,2032,3958
Washington,82698,25174,51292,149193,24518,37894
Wheeler,267,98,112,535,201,352
Yamhill,17891,6158,9299,26818,5665,9780
