,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Baker,2680,873,1389,4715,1878,4859
Benton,12700,9358,21712,28652,7748,18344
Clackamas,77238,28968,45800,141762,61400,90669
Clatsop,6378,2110,4268,11698,4541,11079
Columbia,10309,2991,5914,20058,7364,14638
Coos,9660,3021,5761,18481,7344,20943
Crook,4236,1208,2552,7020,2486,6320
Curry,2384,702,1667,5934,3160,10595
Deschutes,33413,9926,21943,65097,29335,54574
Douglas,19353,6139,11710,37408,14146,37886
Gilliam,339,110,188,604,243,795
Grant,897,253,571,1826,842,2640
Harney,1231,384,582,2479,823,1781
"Hood River",5393,1386,3195,9993,3613,6399
Jackson,40652,12669,27252,76860,28266,67573
Jefferson,5594,1491,2402,7003,3516,6991
Josephine,15509,4702,8679,28571,12310,31825
Klamath,12791,3849,7522,22197,7780,17346
Lake,1391,420,628,2439,886,2167
Lane,60173,27092,62887,129556,38776,91762
Lincoln,6924,2146,4053,14231,6843,18662
Linn,26326,7772,17242,45345,15259,31729
Malheur,7144,1987,3423,10615,3791,6946
Marion,84675,24191,51597,129628,41387,75136
Morrow,2880,760,1429,4316,1630,2710
Multnomah,155316,52751,157548,342258,113753,156721
Polk,19351,5901,14300,35557,9505,20662
Sherman,260,75,200,490,193,511
Tillamook,4262,1291,2463,7750,3892,9065
Umatilla,20043,5536,12101,30151,9558,16285
Union,6211,1893,3966,9411,2205,6843
Wallowa,963,310,650,1815,697,2522
Wasco,5418,1638,3246,8821,3253,7808
Washington,124790,39117,83686,218762,67929,96692
Wheeler,160,48,124,341,150,509
Yamhill,24530,7073,16400,46168,13798,25938
