Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
FwySev,Bend,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySev,Corvallis,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySev,EugeneSpringfield,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySev,Metro,0,0,0,0.001,0.003,0.01,0.03,0.075,0.135,0.176,0.193,0.199,0.2
FwySev,RogueValley,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySev,SalemKeizer,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyExt,Bend,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyExt,Corvallis,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyExt,EugeneSpringfield,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyExt,Metro,0,0,0,0.001,0.003,0.01,0.03,0.075,0.135,0.176,0.193,0.199,0.2
FwyExt,RogueValley,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyExt,SalemKeizer,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSev,Bend,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSev,Corvallis,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSev,EugeneSpringfield,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSev,Metro,0,0,0,0.001,0.003,0.01,0.03,0.075,0.135,0.176,0.193,0.199,0.2
ArtSev,RogueValley,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSev,SalemKeizer,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtExt,Bend,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtExt,Corvallis,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtExt,EugeneSpringfield,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtExt,Metro,0,0,0,0.001,0.003,0.01,0.03,0.075,0.135,0.176,0.193,0.199,0.2
ArtExt,RogueValley,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtExt,SalemKeizer,0,0,0,0,0,0,0,0,0,0,0,0,0
