Year,ULSD,Biodiesel,RFG,CARBOB,Ethanol,Cng,HhVehComposite,CommVehComposite
1990,90.2,15.91,90.1,90.1,64.82,71.41,90.12,90.12
1995,90.2,15.91,90.1,90.1,64.82,71.41,90.11,90.11
2000,90.2,15.91,90.1,90.1,64.82,71.41,89.49,89.49
2005,90.2,15.91,90.1,90.1,64.82,71.41,90.24,90.24
2010,90.2,15.91,92.34,92.34,63.37,71.41,90.38,90.38
2015,90.2,15.91,92.34,92.34,63.37,71.41,89.48,89.48
2020,90.2,15.91,92.34,92.34,63.37,71.41,84.51,84.51
2025,90.2,15.91,92.34,92.34,63.37,71.41,78.63,78.63
2030,90.2,15.91,92.34,92.34,63.37,71.41,74.11,74.11
2035,90.2,15.91,92.34,92.34,63.37,71.41,72.3,72.3
2040,90.2,15.91,92.34,92.34,63.37,71.41,72.3,72.3
2045,90.2,15.91,92.34,92.34,63.37,71.41,72.3,72.3
2050,90.2,15.91,92.34,92.34,63.37,71.41,72.3,72.3
