County,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Baker,0.44,0.51,0.58,0.62,0.63,0.61,0.56,0.51,0.47,0.42,0.37,0.32,0.28
Benton,0.33,0.39,0.44,0.47,0.48,0.484,0.474,0.457,0.43,0.391,0.337,0.274,0.206
Clackamas,0.35,0.41,0.47,0.5,0.51,0.484,0.474,0.457,0.43,0.391,0.337,0.274,0.206
Clatsop,0.4,0.46,0.53,0.56,0.57,0.544,0.533,0.515,0.486,0.443,0.385,0.313,0.237
Columbia,0.38,0.44,0.5,0.53,0.54,0.544,0.533,0.515,0.486,0.443,0.385,0.313,0.237
Coos,0.41,0.48,0.55,0.58,0.59,0.544,0.533,0.515,0.486,0.443,0.385,0.313,0.237
Crook,0.44,0.52,0.59,0.63,0.64,0.62,0.57,0.52,0.48,0.43,0.38,0.33,0.28
Curry,0.42,0.49,0.56,0.59,0.6,0.58,0.53,0.49,0.44,0.4,0.35,0.31,0.26
Deschutes,0.42,0.49,0.56,0.6,0.61,0.59,0.54,0.52,0.48,0.43,0.38,0.33,0.28
Douglas,0.4,0.46,0.53,0.56,0.57,0.544,0.533,0.515,0.486,0.443,0.385,0.313,0.237
Gilliam,0.42,0.49,0.56,0.6,0.61,0.59,0.54,0.52,0.48,0.43,0.38,0.33,0.28
Grant,0.47,0.55,0.63,0.67,0.68,0.66,0.61,0.52,0.48,0.43,0.38,0.33,0.28
Harney,0.48,0.56,0.64,0.68,0.69,0.67,0.62,0.52,0.48,0.43,0.38,0.33,0.28
Hood River,0.38,0.44,0.5,0.53,0.54,0.544,0.533,0.515,0.486,0.443,0.385,0.313,0.237
Jackson,0.38,0.44,0.5,0.53,0.54,0.544,0.533,0.515,0.486,0.443,0.385,0.313,0.237
Jefferson,0.42,0.49,0.56,0.6,0.61,0.59,0.54,0.52,0.48,0.43,0.38,0.33,0.28
Josephine,0.39,0.45,0.52,0.55,0.56,0.54,0.5,0.46,0.41,0.37,0.33,0.29,0.25
Klamath,0.43,0.5,0.57,0.61,0.62,0.6,0.55,0.52,0.48,0.43,0.38,0.33,0.28
Lake,0.48,0.56,0.64,0.68,0.69,0.67,0.62,0.52,0.48,0.43,0.38,0.33,0.28
Lane,0.35,0.41,0.47,0.5,0.51,0.484,0.474,0.457,0.43,0.391,0.337,0.274,0.206
Lincoln,0.38,0.45,0.51,0.54,0.55,0.544,0.533,0.515,0.486,0.443,0.385,0.313,0.237
Linn,0.38,0.44,0.5,0.53,0.54,0.544,0.533,0.515,0.486,0.443,0.385,0.313,0.237
Malheur,0.41,0.48,0.55,0.58,0.59,0.57,0.53,0.52,0.48,0.43,0.38,0.33,0.28
Marion,0.35,0.41,0.47,0.5,0.51,0.484,0.474,0.457,0.43,0.391,0.337,0.274,0.206
Morrow,0.4,0.47,0.54,0.57,0.58,0.56,0.52,0.52,0.48,0.43,0.38,0.33,0.28
Multnomah,0.29,0.34,0.39,0.41,0.42,0.41,0.38,0.35,0.31,0.28,0.25,0.22,0.19
Polk,0.36,0.42,0.48,0.51,0.52,0.484,0.474,0.457,0.43,0.391,0.337,0.274,0.206
Sherman,0.4,0.46,0.53,0.56,0.57,0.55,0.51,0.46,0.42,0.38,0.34,0.29,0.25
Tillamook,0.42,0.49,0.56,0.59,0.6,0.58,0.53,0.52,0.48,0.43,0.38,0.33,0.28
Umatilla,0.39,0.45,0.52,0.55,0.56,0.54,0.5,0.46,0.41,0.37,0.33,0.29,0.25
Union,0.42,0.49,0.56,0.59,0.6,0.58,0.53,0.52,0.48,0.43,0.38,0.33,0.28
Wallowa,0.47,0.55,0.63,0.67,0.68,0.66,0.61,0.56,0.51,0.45,0.4,0.35,0.3
Wasco,0.38,0.45,0.51,0.54,0.55,0.544,0.533,0.515,0.486,0.443,0.385,0.313,0.237
Washington,0.32,0.37,0.43,0.45,0.46,0.44,0.41,0.37,0.34,0.31,0.27,0.24,0.2
Wheeler,0.47,0.54,0.62,0.66,0.67,0.65,0.6,0.52,0.48,0.43,0.38,0.33,0.28
Yamhill,0.37,0.43,0.49,0.52,0.53,0.544,0.533,0.515,0.486,0.443,0.385,0.313,0.237
