Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
FwySmooth,Bend,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
FwySmooth,Corvallis,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
FwySmooth,EugeneSpringfield,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
FwySmooth,Metro,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
FwySmooth,RogueValley,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
FwySmooth,SalemKeizer,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
FwySmooth,Other,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
ArtSmooth,Bend,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
ArtSmooth,Corvallis,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
ArtSmooth,EugeneSpringfield,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
ArtSmooth,Metro,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
ArtSmooth,RogueValley,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
ArtSmooth,SalemKeizer,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
ArtSmooth,Other,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
LtVehEco,Bend,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
LtVehEco,Corvallis,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
LtVehEco,EugeneSpringfield,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
LtVehEco,Metro,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
LtVehEco,RogueValley,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
LtVehEco,SalemKeizer,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
LtVehEco,Other,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
TruckEco,Bend,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
TruckEco,Corvallis,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
TruckEco,EugeneSpringfield,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
TruckEco,Metro,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
TruckEco,RogueValley,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
TruckEco,SalemKeizer,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
TruckEco,Other,0,0,0,0.002,0.008,0.029,0.103,0.302,0.597,0.797,0.871,0.892,0.898
